index,word,start,end,start_time,end_time,confidence,cue
1,Okay,0.0,0.36,00:00:00.000,00:00:00.360,0.5464,1
2,so,0.66,0.86,00:00:00.660,00:00:00.860,0.9749,1
3,Google,0.86,1.06,00:00:00.860,00:00:01.060,0.9055,1
4,DeepMind,1.06,1.56,00:00:01.060,00:00:01.560,0.96,1
5,predicted,1.56,1.92,00:00:01.560,00:00:01.920,0.9855,1
6,2.2,2.22,2.7,00:00:02.220,00:00:02.700,0.9821,1
7,million,2.7,2.92,00:00:02.700,00:00:02.920,0.9439,1
8,crystals,2.92,3.38,00:00:02.920,00:00:03.380,0.9788,1
9,Huge,4.26,4.44,00:00:04.260,00:00:04.440,0.9352,2
10,But,5.24,5.36,00:00:05.240,00:00:05.360,0.9825,3
11,by,5.36,5.54,00:00:05.360,00:00:05.540,0.982,3
12,late,5.54,5.74,00:00:05.540,00:00:05.740,0.9971,3
13,2023,5.74,6.64,00:00:05.740,00:00:06.640,0.9885,3
14,only,6.94,7.1,00:00:06.940,00:00:07.100,0.9925,3
15,736,7.1,8.06,00:00:07.100,00:00:08.060,0.9906,3
16,had,8.06,8.44,00:00:08.060,00:00:08.440,0.9784,3
17,been,8.44,8.58,00:00:08.440,00:00:08.580,0.9993,3
18,independently,8.58,9.12,00:00:08.580,00:00:09.120,0.9974,3
19,synthesized,9.12,9.86,00:00:09.120,00:00:09.860,0.9791,3
20,The,10.5,10.64,00:00:10.500,00:00:10.640,0.9916,4
21,usual,10.64,10.9,00:00:10.640,00:00:10.900,0.9993,4
22,response,10.9,11.26,00:00:10.900,00:00:11.260,0.976,4
23,is,11.26,11.68,00:00:11.260,00:00:11.680,0.9971,4
24,build,11.84,11.96,00:00:11.840,00:00:11.960,0.2656,4
25,a,11.96,12.14,00:00:11.960,00:00:12.140,0.983,4
26,bigger,12.14,12.36,00:00:12.140,00:00:12.360,0.9976,4
27,neural,12.36,12.64,00:00:12.360,00:00:12.640,0.9991,4
28,net,12.64,12.88,00:00:12.640,00:00:12.880,0.9975,4
29,What,13.58,13.72,00:00:13.580,00:00:13.720,0.9952,5
30,if,13.72,13.84,00:00:13.720,00:00:13.840,0.9934,5
31,that,13.84,13.98,00:00:13.840,00:00:13.980,0.9969,5
32,is,13.98,14.12,00:00:13.980,00:00:14.120,0.9853,5
33,solving,14.12,14.34,00:00:14.120,00:00:14.340,0.998,5
34,the,14.34,14.52,00:00:14.340,00:00:14.520,0.9988,5
35,wrong,14.52,14.68,00:00:14.520,00:00:14.680,0.9989,5
36,problem,14.68,15.06,00:00:14.680,00:00:15.060,0.9987,5
37,Universal,15.7,16.14,00:00:15.700,00:00:16.140,0.9443,6
38,machine-learning,16.5,16.78,00:00:16.500,00:00:16.780,0.9583,6
39,potentials,16.78,17.38,00:00:16.780,00:00:17.380,0.9934,6
40,are,17.38,17.5,00:00:17.380,00:00:17.500,0.9946,6
41,already,17.5,17.86,00:00:17.500,00:00:17.860,0.9964,6
42,fast,17.86,18.1,00:00:17.860,00:00:18.100,0.9973,6
43,and,18.1,18.36,00:00:18.100,00:00:18.360,0.9874,6
44,pretty,18.36,18.56,00:00:18.360,00:00:18.560,0.9984,6
45,accurate,18.56,18.96,00:00:18.560,00:00:18.960,0.9972,6
