timestamp,frame_number,scene_or_cue,typography_floor,legible_unclipped,single_focal,safe_margins,contrast_palette,scientific_specificity,motion_complete,transition_clean,semantic_alignment,technical_clean,total,verdict,animator_note
00:00:00.000,0,mandatory opening t=0,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:00.100,3,mandatory opening t=0.1; narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:03.720,112,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:05.000,150,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:06.980,209,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:08.600,258,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:10.000,300,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:10.960,329,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:13.560,407,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:15.000,450,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:15.200,456,pre-transition bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:15.400,462,narration cue boundary; scene transition,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:15.600,468,post-transition bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:18.220,547,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:20.000,600,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:20.400,612,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:23.700,711,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:25.000,750,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:26.612,798,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:28.640,859,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:30.000,900,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:30.800,924,pre-transition bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:31.000,930,narration cue boundary; scene transition,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:31.200,936,post-transition bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:32.820,985,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:34.520,1036,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:35.000,1050,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:36.960,1109,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:39.180,1175,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:40.000,1200,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:41.880,1256,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:44.467,1334,pre-transition bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:44.667,1340,scene transition,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:44.680,1340,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:44.867,1346,post-transition bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:45.000,1350,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:46.900,1407,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:48.320,1450,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:50.000,1500,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:50.760,1523,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:53.354,1601,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:55.000,1650,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:55.920,1678,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:57.260,1718,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:00:59.640,1789,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:00.000,1800,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
