timestamp	seconds	frame_number	source_master_sha256	reason	filename
00:00:00.000	0.000000	0	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	mandatory opening t=0	decoded-frames/frame-000-f0000-at-00-00-00-000.jpg
00:00:00.100	0.100000	3	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	mandatory opening t=0.1; narration cue boundary	decoded-frames/frame-001-f0003-at-00-00-00-100.jpg
00:00:00.500	0.500000	15	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	opening continuity bracket	decoded-frames/frame-002-f0015-at-00-00-00-500.jpg
00:00:01.000	1.000000	30	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	opening continuity bracket	decoded-frames/frame-003-f0030-at-00-00-01-000.jpg
00:00:02.000	2.000000	60	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	opening continuity bracket	decoded-frames/frame-004-f0060-at-00-00-02-000.jpg
00:00:03.720	3.720000	112	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-005-f0112-at-00-00-03-720.jpg
00:00:05.000	5.000000	150	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-006-f0150-at-00-00-05-000.jpg
00:00:06.980	6.980000	209	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-007-f0209-at-00-00-06-980.jpg
00:00:08.600	8.600000	258	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-008-f0258-at-00-00-08-600.jpg
00:00:10.000	10.000000	300	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-009-f0300-at-00-00-10-000.jpg
00:00:10.960	10.960000	329	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-010-f0329-at-00-00-10-960.jpg
