index,word,start,end,start_time,end_time,confidence,sentence
1,What,0.1,0.26,00:00:00.100,00:00:00.260,0.6599,1
2,do,0.26,0.44,00:00:00.260,00:00:00.440,0.9783,1
3,desalination,0.44,0.94,00:00:00.440,00:00:00.940,0.9895,1
4,membranes,0.94,1.32,00:00:00.940,00:00:01.320,0.9957,1
5,methane,1.7,1.98,00:00:01.700,00:00:01.980,0.9975,1
6,catalysts,1.98,2.5,00:00:01.980,00:00:02.500,0.9974,1
7,safer,2.84,2.92,00:00:02.840,00:00:02.920,0.9603,1
8,refrigerants,2.92,3.52,00:00:02.920,00:00:03.520,0.9959,1
9,lithium,3.72,3.94,00:00:03.720,00:00:03.940,0.9929,1
10,recovery,3.94,4.34,00:00:03.940,00:00:04.340,0.9719,1
11,P-fass,4.34,4.84,00:00:04.340,00:00:04.840,,1
12,cleanup,4.84,5.34,00:00:04.840,00:00:05.340,,1
13,clean-air,5.34,5.84,00:00:05.340,00:00:05.840,,1
14,catalysts,5.84,6.3,00:00:05.840,00:00:06.300,0.9986,1
15,and,6.54,6.64,00:00:06.540,00:00:06.640,0.9968,1
16,low-carbon,6.64,6.98,00:00:06.640,00:00:06.980,,1
17,cement,6.98,7.3,00:00:06.980,00:00:07.300,0.9968,1
18,have,7.3,7.54,00:00:07.300,00:00:07.540,0.9948,1
19,in,7.54,7.68,00:00:07.540,00:00:07.680,0.9971,1
20,common,7.68,7.86,00:00:07.680,00:00:07.860,0.9998,1
21,Weirdly,8.6,8.94,00:00:08.600,00:00:08.940,0.9747,2
22,the,9.14,9.24,00:00:09.140,00:00:09.240,0.9934,2
23,same,9.24,9.42,00:00:09.240,00:00:09.420,0.9985,2
24,atomic,9.42,9.76,00:00:09.420,00:00:09.760,0.9985,2
25,blind,9.76,10.0,00:00:09.760,00:00:10.000,0.909,2
26,spot,10.0,10.34,00:00:10.000,00:00:10.340,0.9734,2
27,The,10.96,11.06,00:00:10.960,00:00:11.060,0.9901,3
28,materials,11.06,11.44,00:00:11.060,00:00:11.440,0.8197,3
29,bottleneck,11.44,11.8,00:00:11.440,00:00:11.800,0.9799,3
30,is,11.8,12.02,00:00:11.800,00:00:12.020,0.9937,3
31,not,12.02,12.22,00:00:12.020,00:00:12.220,0.9872,3
32,climate-specific,12.22,13.5,00:00:12.220,00:00:13.500,,3
33,It,13.56,13.66,00:00:13.560,00:00:13.660,0.993,4
34,is,13.66,13.78,00:00:13.660,00:00:13.780,0.9937,4
35,coordination-specific,13.78,15.298,00:00:13.780,00:00:15.298,,4
36,Universal,15.4,15.74,00:00:15.400,00:00:15.740,0.9383,5
37,machine-learning,15.74,16.28,00:00:15.740,00:00:16.280,,5
38,potentials,16.28,16.8,00:00:16.280,00:00:16.800,0.9936,5
39,learn,16.8,16.92,00:00:16.800,00:00:16.920,0.9408,5
40,tidy,16.92,17.22,00:00:16.920,00:00:17.220,0.8544,5
41,bulk,17.22,17.4,00:00:17.220,00:00:17.400,0.9487,5
42,crystals,17.4,17.78,00:00:17.400,00:00:17.780,0.9881,5
43,where,17.78,18.22,00:00:17.780,00:00:18.220,0.5511,5
44,atoms,18.22,18.5,00:00:18.220,00:00:18.500,0.9994,5
45,have,18.5,18.72,00:00:18.500,00:00:18.720,0.9978,5
46,lots,18.72,18.92,00:00:18.720,00:00:18.920,0.9906,5
47,of,18.92,19.08,00:00:18.920,00:00:19.080,0.9986,5
48,regular,19.08,19.38,00:00:19.080,00:00:19.380,0.9932,5
49,neighbors,19.38,19.66,00:00:19.380,00:00:19.660,0.9534,5
50,But,20.4,20.52,00:00:20.400,00:00:20.520,0.9889,6
51,useful,20.52,20.84,00:00:20.520,00:00:20.840,0.9934,6
52,chemistry,20.84,21.22,00:00:20.840,00:00:21.220,0.9992,6
53,happens,21.22,21.54,00:00:21.220,00:00:21.540,0.9974,6
54,at,21.54,21.78,00:00:21.540,00:00:21.780,0.5109,6
55,pores,21.78,22.02,00:00:21.780,00:00:22.020,0.9344,6
56,surfaces,22.32,22.52,00:00:22.320,00:00:22.520,0.9994,6
57,vacancies,23.0,23.2,00:00:23.000,00:00:23.200,0.9799,6
58,and,23.7,23.8,00:00:23.700,00:00:23.800,0.9985,6
59,transition,23.8,24.14,00:00:23.800,00:00:24.140,0.9963,6
60,states—where,24.14,24.94,00:00:24.140,00:00:24.940,,6
61,atoms,24.94,25.24,00:00:24.940,00:00:25.240,0.9965,6
62,have,25.24,25.44,00:00:25.240,00:00:25.440,0.9983,6
63,fewer,25.44,25.64,00:00:25.440,00:00:25.640,0.9993,6
64,neighbors,25.64,25.92,00:00:25.640,00:00:25.920,0.9993,6
65,Right,26.612,26.82,00:00:26.612,00:00:26.820,0.206,7
66,there,26.82,27.08,00:00:26.820,00:00:27.080,0.9906,7
67,these,27.28,27.42,00:00:27.280,00:00:27.420,0.988,7
68,models,27.42,27.7,00:00:27.420,00:00:27.700,0.9962,7
69,can,27.7,27.94,00:00:27.700,00:00:27.940,0.9971,7
70,soften,27.94,28.16,00:00:27.940,00:00:28.160,0.9957,7
71,the,28.16,28.38,00:00:28.160,00:00:28.380,0.9917,7
72,energy,28.38,28.64,00:00:28.380,00:00:28.640,0.9981,7
73,landscape,28.64,29.1,00:00:28.640,00:00:29.100,0.9976,7
74,by,29.1,29.28,00:00:29.100,00:00:29.280,0.9971,7
75,15,29.28,29.62,00:00:29.280,00:00:29.620,0.9821,7
76,to,29.62,29.8,00:00:29.620,00:00:29.800,0.5301,7
77,60,29.8,30.06,00:00:29.800,00:00:30.060,0.7816,7
78,percent,30.06,31.0,00:00:30.060,00:00:31.000,,7
79,That,31.0,31.22,00:00:31.000,00:00:31.220,0.982,8
80,is,31.22,31.34,00:00:31.220,00:00:31.340,0.9919,8
81,not,31.34,31.52,00:00:31.340,00:00:31.520,0.9948,8
82,harmless,31.52,31.86,00:00:31.520,00:00:31.860,0.997,8
83,noise,31.86,32.18,00:00:31.860,00:00:32.180,0.9976,8
84,A,32.82,32.92,00:00:32.820,00:00:32.920,0.9702,9
85,softened,32.92,33.2,00:00:32.920,00:00:33.200,0.9824,9
86,barrier,33.2,33.56,00:00:33.200,00:00:33.560,0.9986,9
87,can,33.56,33.76,00:00:33.560,00:00:33.760,0.9969,9
88,make,33.76,33.9,00:00:33.760,00:00:33.900,0.9988,9
89,the,33.9,34.02,00:00:33.900,00:00:34.020,0.9987,9
90,wrong,34.02,34.2,00:00:34.020,00:00:34.200,0.9966,9
91,membrane,34.2,34.52,00:00:34.200,00:00:34.520,0.9996,9
92,look,34.52,34.76,00:00:34.520,00:00:34.760,0.9917,9
93,selective,34.76,35.16,00:00:34.760,00:00:35.160,0.9987,9
94,the,35.44,35.56,00:00:35.440,00:00:35.560,0.9958,9
95,wrong,35.56,35.74,00:00:35.560,00:00:35.740,0.9997,9
96,catalyst,35.74,36.08,00:00:35.740,00:00:36.080,0.7735,9
97,look,36.08,36.32,00:00:36.080,00:00:36.320,0.988,9
98,fast,36.32,36.58,00:00:36.320,00:00:36.580,0.9984,9
99,or,36.82,36.96,00:00:36.820,00:00:36.960,0.996,9
100,an,36.96,37.06,00:00:36.960,00:00:37.060,0.9906,9
101,unmakeable,37.06,37.52,00:00:37.060,00:00:37.520,0.9739,9
102,cement,37.52,37.76,00:00:37.520,00:00:37.760,0.9985,9
103,phase,37.76,38.08,00:00:37.760,00:00:38.080,0.89,9
104,look,38.08,38.26,00:00:38.080,00:00:38.260,0.8225,9
105,stable,38.26,38.6,00:00:38.260,00:00:38.600,0.9992,9
106,Across,39.18,39.46,00:00:39.180,00:00:39.460,0.9846,10
107,millions,39.46,39.78,00:00:39.460,00:00:39.780,0.9983,10
108,of,39.78,40.0,00:00:39.780,00:00:40.000,0.9995,10
109,candidates,40.0,40.4,00:00:40.000,00:00:40.400,0.9977,10
110,tiny,40.66,40.86,00:00:40.660,00:00:40.860,0.9958,10
111,systematic,40.86,41.26,00:00:40.860,00:00:41.260,0.9194,10
112,errors,41.26,41.62,00:00:41.260,00:00:41.620,0.9969,10
113,flip,41.62,41.88,00:00:41.620,00:00:41.880,0.9929,10
114,rankings—and,41.88,42.66,00:00:41.880,00:00:42.660,,10
115,experiments,42.66,43.1,00:00:42.660,00:00:43.100,0.9964,10
116,chase,43.1,43.38,00:00:43.100,00:00:43.380,0.9976,10
117,false,43.38,43.68,00:00:43.380,00:00:43.680,0.9947,10
118,winners,43.68,43.96,00:00:43.680,00:00:43.960,0.9866,10
119,The,44.68,44.8,00:00:44.680,00:00:44.800,0.9817,11
120,stakes,44.8,45.0,00:00:44.800,00:00:45.000,0.9952,11
121,are,45.0,45.16,00:00:45.000,00:00:45.160,0.9994,11
122,huge,45.16,45.42,00:00:45.160,00:00:45.420,0.9995,11
123,water,45.72,45.86,00:00:45.720,00:00:45.860,0.9958,11
124,scarcity,45.86,46.24,00:00:45.860,00:00:46.240,0.9978,11
125,affects,46.24,46.54,00:00:46.240,00:00:46.540,0.96,11
126,roughly,46.54,46.9,00:00:46.540,00:00:46.900,0.9992,11
127,two,46.9,47.14,00:00:46.900,00:00:47.140,,11
128,billion,47.14,47.32,00:00:47.140,00:00:47.320,0.9946,11
129,people,47.32,47.7,00:00:47.320,00:00:47.700,0.9988,11
130,Air,48.32,48.46,00:00:48.320,00:00:48.460,0.9459,12
131,pollution,48.46,48.74,00:00:48.460,00:00:48.740,0.9981,12
132,kills,48.74,49.08,00:00:48.740,00:00:49.080,0.9978,12
133,millions,49.08,49.44,00:00:49.080,00:00:49.440,0.9994,12
134,every,49.44,49.76,00:00:49.440,00:00:49.760,0.996,12
135,year,49.76,50.02,00:00:49.760,00:00:50.020,0.9997,12
136,Methane,50.76,50.98,00:00:50.760,00:00:50.980,0.9846,13
137,drives,50.98,51.26,00:00:50.980,00:00:51.260,,13
138,about,51.26,51.46,00:00:51.260,00:00:51.460,0.9956,13
139,30,51.46,51.72,00:00:51.460,00:00:51.720,0.9883,13
140,percent,51.72,51.98,00:00:51.720,00:00:51.980,,13
141,of,51.98,52.18,00:00:51.980,00:00:52.180,0.997,13
142,current,52.18,52.4,00:00:52.180,00:00:52.400,0.9987,13
143,warming,52.4,52.72,00:00:52.400,00:00:52.720,0.9995,13
144,Clean-energy,53.354,53.84,00:00:53.354,00:00:53.840,,14
145,mineral,53.84,54.18,00:00:53.840,00:00:54.180,0.9058,14
146,demand,54.18,54.5,00:00:54.180,00:00:54.500,0.9966,14
147,could,54.5,54.68,00:00:54.500,00:00:54.680,0.978,14
148,rise,54.68,54.9,00:00:54.680,00:00:54.900,0.9944,14
149,four,54.9,55.16,00:00:54.900,00:00:55.160,0.3847,14
150,to,55.16,55.5,00:00:55.160,00:00:55.500,0.9199,14
151,six-fold,55.5,55.92,00:00:55.500,00:00:55.920,,14
152,by,55.92,56.08,00:00:55.920,00:00:56.080,0.9969,14
153,2040,56.08,56.6,00:00:56.080,00:00:56.600,0.9847,14
154,And,57.26,57.34,00:00:57.260,00:00:57.340,0.9559,15
155,cement,57.34,57.56,00:00:57.340,00:00:57.560,0.893,15
156,alone,57.56,57.86,00:00:57.560,00:00:57.860,0.9976,15
157,produces,57.86,58.26,00:00:57.860,00:00:58.260,0.9973,15
158,roughly,58.26,58.6,00:00:58.260,00:00:58.600,0.9945,15
159,2,58.6,58.84,00:00:58.600,00:00:58.840,0.9343,15
160,8,58.84,59.22,00:00:58.840,00:00:59.220,0.997,15
161,gigatonnes,59.22,59.64,00:00:59.220,00:00:59.640,,15
162,of,59.64,59.84,00:00:59.640,00:00:59.840,0.9961,15
163,carbon,59.84,60.1,00:00:59.840,00:01:00.100,0.9929,15
164,dioxide,60.1,60.54,00:01:00.100,00:01:00.540,0.9985,15
165,annually,60.54,60.96,00:01:00.540,00:01:00.960,0.9976,15
166,Lupine’s,61.612,62.0,00:01:01.612,00:01:02.000,,16
167,response,62.0,62.26,00:01:02.000,00:01:02.260,0.9973,16
168,starts,62.26,62.58,00:01:02.260,00:01:02.580,0.9969,16
169,with,62.58,62.78,00:01:02.580,00:01:02.780,0.9984,16
170,the,62.78,62.88,00:01:02.780,00:01:02.880,0.8639,16
171,useful,62.88,63.12,00:01:02.880,00:01:03.120,0.9956,16
172,part,63.12,63.38,00:01:03.120,00:01:03.380,0.999,16
173,the,63.62,63.76,00:01:03.620,00:01:03.760,0.9054,16
174,error,63.76,63.92,00:01:03.760,00:01:03.920,0.7781,16
175,has,63.92,64.16,00:01:03.920,00:01:04.160,0.9972,16
176,a,64.16,64.28,00:01:04.160,00:01:04.280,0.9907,16
177,shape,64.28,64.46,00:01:04.280,00:01:04.460,0.9989,16
178,Three,65.048,65.3,00:01:05.048,00:01:05.300,0.9903,17
