index,word,start,end,start_time,end_time,confidence,cue
1,The,0.0,0.22,00:00:00.000,00:00:00.220,0.6911,1
2,energy,0.22,0.52,00:00:00.220,00:00:00.520,0.9917,1
3,transition,0.52,1.02,00:00:00.520,00:00:01.020,0.997,1
4,needs,1.02,1.28,00:00:01.020,00:00:01.280,0.9896,1
5,a,1.28,1.42,00:00:01.280,00:00:01.420,0.9953,1
6,lot,1.42,1.54,00:00:01.420,00:00:01.540,0.9948,1
7,more,1.54,1.76,00:00:01.540,00:00:01.760,0.9972,1
8,critical,1.76,2.04,00:00:01.760,00:00:02.040,0.992,1
9,minerals,2.04,2.46,00:00:02.040,00:00:02.460,0.9984,1
10,Our,3.24,3.34,00:00:03.240,00:00:03.340,0.9908,2
11,water,3.34,3.56,00:00:03.340,00:00:03.560,0.9983,2
12,needs,3.56,3.8,00:00:03.560,00:00:03.800,0.9977,2
13,a,3.8,3.92,00:00:03.800,00:00:03.920,0.9961,2
14,lot,3.92,4.06,00:00:03.920,00:00:04.060,0.9986,2
15,fewer,4.06,4.34,00:00:04.060,00:00:04.340,0.9962,2
16,forever,4.34,4.7,00:00:04.340,00:00:04.700,0.8958,2
17,chemicals,4.7,5.16,00:00:04.700,00:00:05.160,0.9936,2
18,Totally,6.14,6.14,00:00:06.140,00:00:06.140,0.9906,3
19,different,6.14,6.48,00:00:06.140,00:00:06.480,0.9979,3
20,crises,6.48,6.84,00:00:06.480,00:00:06.840,0.9475,3
21,right,7.08,7.3,00:00:07.080,00:00:07.300,0.9972,3
22,At,7.8,8.06,00:00:07.800,00:00:08.060,0.9942,4
23,the,8.06,8.2,00:00:08.060,00:00:08.200,0.9982,4
24,atomic,8.2,8.46,00:00:08.200,00:00:08.460,0.9835,4
25,level,8.46,8.76,00:00:08.460,00:00:08.760,0.9979,4
26,they,8.94,9.16,00:00:08.940,00:00:09.160,0.9941,4
27,are,9.16,9.26,00:00:09.160,00:00:09.260,0.9027,4
28,weirdly,9.26,9.62,00:00:09.260,00:00:09.620,0.9902,4
29,the,9.62,9.72,00:00:09.620,00:00:09.720,0.9982,4
30,same,9.72,9.94,00:00:09.720,00:00:09.940,0.9998,4
31,problem,9.94,10.26,00:00:09.940,00:00:10.260,0.9988,4
32,getting,10.56,10.7,00:00:10.560,00:00:10.700,0.9944,4
33,a,10.7,10.84,00:00:10.700,00:00:10.840,0.8962,4
34,material,10.84,11.06,00:00:10.840,00:00:11.060,0.9993,4
35,to,11.06,11.34,00:00:11.060,00:00:11.340,0.9989,4
36,grab,11.34,11.56,00:00:11.340,00:00:11.560,0.9944,4
37,release,11.82,12.02,00:00:11.820,00:00:12.020,0.9992,4
38,or,12.32,12.42,00:00:12.320,00:00:12.420,0.9989,4
39,break,12.42,12.62,00:00:12.420,00:00:12.620,0.9976,4
40,exactly,12.62,12.96,00:00:12.620,00:00:12.960,0.9965,4
41,the,12.96,13.2,00:00:12.960,00:00:13.200,0.9991,4
42,right,13.2,13.34,00:00:13.200,00:00:13.340,0.9981,4
43,thing,13.34,13.6,00:00:13.340,00:00:13.600,0.9978,4
44,Clean-energy,14.141,14.72,00:00:14.141,00:00:14.720,,5
45,mineral,14.72,15.02,00:00:14.720,00:00:15.020,0.9762,5
46,demand,15.02,15.34,00:00:15.020,00:00:15.340,0.9977,5
47,could,15.34,15.56,00:00:15.340,00:00:15.560,0.9936,5
48,grow,15.56,15.78,00:00:15.560,00:00:15.780,0.9919,5
49,four,15.78,16.02,00:00:15.780,00:00:16.020,0.5044,5
50,to,16.02,16.16,00:00:16.020,00:00:16.160,0.9929,5
51,six,16.16,16.36,00:00:16.160,00:00:16.360,0.9977,5
52,times,16.36,16.62,00:00:16.360,00:00:16.620,0.9142,5
53,by,16.62,16.82,00:00:16.620,00:00:16.820,0.9988,5
54,2040,16.82,17.32,00:00:16.820,00:00:17.320,0.9814,5
55,Mining,18.08,18.22,00:00:18.080,00:00:18.220,0.9933,6
56,alone,18.22,18.54,00:00:18.220,00:00:18.540,0.9995,6
57,cannot,18.54,18.76,00:00:18.540,00:00:18.760,0.9403,6
58,get,18.76,19.02,00:00:18.760,00:00:19.020,0.9976,6
59,us,19.02,19.16,00:00:19.020,00:00:19.160,0.9977,6
60,there,19.16,19.32,00:00:19.160,00:00:19.320,0.9991,6
61,cleanly,19.32,19.68,00:00:19.320,00:00:19.680,0.9951,6
62,or,19.68,19.84,00:00:19.680,00:00:19.840,0.9943,6
63,quickly,19.84,20.12,00:00:19.840,00:00:20.120,0.9994,6
64,So,20.9,20.96,00:00:20.900,00:00:20.960,0.9444,7
65,recycling,20.96,21.36,00:00:20.960,00:00:21.360,0.8998,7
66,urban,21.66,21.86,00:00:21.660,00:00:21.860,0.998,7
67,mining,21.86,22.14,00:00:21.860,00:00:22.140,0.9989,7
68,and,22.42,22.56,00:00:22.420,00:00:22.560,0.999,7
69,direct,22.56,22.82,00:00:22.560,00:00:22.820,0.9968,7
70,lithium,22.82,23.14,00:00:22.820,00:00:23.140,0.9941,7
71,extraction,23.14,23.54,00:00:23.140,00:00:23.540,0.9993,7
72,have,23.54,23.86,00:00:23.540,00:00:23.860,0.9971,7
73,to,23.86,24.0,00:00:23.860,00:00:24.000,0.9995,7
74,work,24.0,24.22,00:00:24.000,00:00:24.220,0.9997,7
75,But,24.76,24.98,00:00:24.760,00:00:24.980,0.9948,8
76,that,24.98,25.16,00:00:24.980,00:00:25.160,0.9963,8
77,requires,25.16,25.52,00:00:25.160,00:00:25.520,0.9929,8
78,sorbents,25.52,25.94,00:00:25.520,00:00:25.940,0.8877,8
79,and,25.94,26.16,00:00:25.940,00:00:26.160,0.9859,8
80,extractants,26.16,26.68,00:00:26.160,00:00:26.680,0.8561,8
81,precise,26.68,27.0,00:00:26.680,00:00:27.000,0.9475,8
82,enough,27.0,27.3,00:00:27.000,00:00:27.300,0.9997,8
83,to,27.3,27.46,00:00:27.300,00:00:27.460,0.9988,8
84,separate,27.46,27.8,00:00:27.460,00:00:27.800,0.9923,8
85,nearly,27.8,28.02,00:00:27.800,00:00:28.020,0.7942,8
86,identical,28.02,28.48,00:00:28.020,00:00:28.480,0.9817,8
87,ions,28.48,28.82,00:00:28.480,00:00:28.820,0.981,8
88,in,28.82,29.04,00:00:28.820,00:00:29.040,0.9912,8
89,messy,29.04,29.28,00:00:29.040,00:00:29.280,0.9751,8
90,real-world,29.28,29.66,00:00:29.280,00:00:29.660,,8
91,streams,29.66,30.16,00:00:29.660,00:00:30.160,0.8309,8
92,PFAS,30.9,31.14,00:00:30.900,00:00:31.140,0.9751,9
93,flips,31.14,31.4,00:00:31.140,00:00:31.400,0.9907,9
94,the,31.4,31.6,00:00:31.400,00:00:31.600,0.9975,9
95,challenge,31.6,31.88,00:00:31.600,00:00:31.880,0.991,9
96,around,31.88,32.2,00:00:31.880,00:00:32.200,0.9973,9
97,First,32.98,33.22,00:00:32.980,00:00:33.220,0.9848,10
98,capture,33.48,33.74,00:00:33.480,00:00:33.740,0.9669,10
99,PFOA,33.74,34.5,00:00:33.740,00:00:34.500,,10
100,and,34.5,34.74,00:00:34.500,00:00:34.740,0.9805,10
101,PFOS,34.74,35.2,00:00:34.740,00:00:35.200,0.8518,10
102,down,35.2,35.46,00:00:35.200,00:00:35.460,0.9895,10
103,to,35.46,35.62,00:00:35.460,00:00:35.620,0.998,10
104,the,35.62,35.72,00:00:35.620,00:00:35.720,0.9917,10
105,EPA,35.72,36.02,00:00:35.720,00:00:36.020,0.9912,10
106,limit,36.02,36.3,00:00:36.020,00:00:36.300,0.994,10
107,four,36.3,36.76,00:00:36.300,00:00:36.760,,10
108,nanograms,36.76,37.18,00:00:36.760,00:00:37.180,0.723,10
109,per,37.18,37.42,00:00:37.180,00:00:37.420,0.9721,10
110,liter,37.42,37.54,00:00:37.420,00:00:37.540,0.9127,10
111,each,37.54,37.88,00:00:37.540,00:00:37.880,0.9951,10
112,Then,38.52,38.7,00:00:38.520,00:00:38.700,0.9897,11
113,actually,38.7,39.12,00:00:38.700,00:00:39.120,0.8254,11
114,destroy,39.12,39.46,00:00:39.120,00:00:39.460,0.9931,11
115,them,39.46,39.72,00:00:39.460,00:00:39.720,0.999,11
116,That,40.3,40.52,00:00:40.300,00:00:40.520,0.9919,12
117,second,40.52,40.8,00:00:40.520,00:00:40.800,0.9903,12
118,step,40.8,41.04,00:00:40.800,00:00:41.040,0.9987,12
119,is,41.04,41.22,00:00:41.040,00:00:41.220,0.9988,12
120,brutal,41.22,41.46,00:00:41.220,00:00:41.460,0.83,12
121,because,41.46,41.76,00:00:41.460,00:00:41.760,0.8688,12
122,the,41.76,41.94,00:00:41.760,00:00:41.940,0.9954,12
123,carbon–fluorine,41.94,42.74,00:00:41.940,00:00:42.740,,12
124,bond,42.74,42.98,00:00:42.740,00:00:42.980,0.9935,12
125,packs,42.98,43.24,00:00:42.980,00:00:43.240,0.9931,12
126,about,43.24,43.46,00:00:43.240,00:00:43.460,0.9963,12
127,four,43.46,43.787,00:00:43.460,00:00:43.787,,12
128,hundred,43.787,44.113,00:00:43.787,00:00:44.113,,12
129,eighty-five,44.113,44.44,00:00:44.113,00:00:44.440,,12
130,kilojoules,44.44,44.94,00:00:44.440,00:00:44.940,0.879,12
131,per,44.94,45.1,00:00:44.940,00:00:45.100,0.9873,12
132,mole,45.1,45.28,00:00:45.100,00:00:45.280,0.958,12
133,Today’s,45.94,46.28,00:00:45.940,00:00:46.280,0.9935,13
134,filters,46.28,46.5,00:00:46.280,00:00:46.500,0.9969,13
135,mostly,46.5,46.84,00:00:46.500,00:00:46.840,0.9945,13
136,move,46.84,47.1,00:00:46.840,00:00:47.100,0.9743,13
137,the,47.1,47.26,00:00:47.100,00:00:47.260,0.9987,13
138,problem,47.26,47.52,00:00:47.260,00:00:47.520,0.9987,13
139,into,47.52,47.76,00:00:47.520,00:00:47.760,0.9966,13
140,contaminated,47.76,48.18,00:00:47.760,00:00:48.180,0.9983,13
141,media,48.18,48.64,00:00:48.180,00:00:48.640,0.9991,13
142,We,49.28,49.4,00:00:49.280,00:00:49.400,0.9957,14
143,could,49.4,49.54,00:00:49.400,00:00:49.540,0.997,14
144,screen,49.54,49.82,00:00:49.540,00:00:49.820,0.9878,14
145,millions,49.82,50.06,00:00:49.820,00:00:50.060,0.9988,14
146,of,50.06,50.3,00:00:50.060,00:00:50.300,0.9993,14
147,recovery,50.3,50.64,00:00:50.300,00:00:50.640,0.9935,14
148,materials,50.64,51.08,00:00:50.640,00:00:51.080,0.998,14
149,and,51.08,51.32,00:00:51.080,00:00:51.320,0.9918,14
150,catalysts,51.32,51.84,00:00:51.320,00:00:51.840,0.9995,14
151,except,52.02,52.28,00:00:52.020,00:00:52.280,0.9966,14
152,the,52.28,52.48,00:00:52.280,00:00:52.480,0.9978,14
153,fast,52.48,52.68,00:00:52.480,00:00:52.680,0.5976,14
154,models,52.68,52.94,00:00:52.680,00:00:52.940,0.954,14
155,tend,52.94,53.22,00:00:52.940,00:00:53.220,0.9984,14
156,to,53.22,53.4,00:00:53.220,00:00:53.400,0.9997,14
157,soften,53.4,53.6,00:00:53.400,00:00:53.600,0.9983,14
158,the,53.6,53.82,00:00:53.600,00:00:53.820,0.9994,14
159,exact,53.82,54.1,00:00:53.820,00:00:54.100,0.9982,14
160,physics,54.1,54.4,00:00:54.100,00:00:54.400,0.9985,14
161,that,54.4,54.68,00:00:54.400,00:00:54.680,0.9994,14
162,matters,54.68,55.0,00:00:54.680,00:00:55.000,0.9653,14
163,At,55.54,55.84,00:00:55.540,00:00:55.840,0.3236,15
164,pores,55.84,56.1,00:00:55.840,00:00:56.100,0.8211,15
165,vacancies,56.38,56.7,00:00:56.380,00:00:56.700,0.9888,15
166,surfaces,57.14,57.4,00:00:57.140,00:00:57.400,0.9987,15
167,and,57.8,57.92,00:00:57.800,00:00:57.920,0.9912,15
168,transition,57.92,58.3,00:00:57.920,00:00:58.300,0.9956,15
169,states,58.3,58.72,00:00:58.300,00:00:58.720,0.9943,15
170,raw,58.72,59.12,00:00:58.720,00:00:59.120,,15
171,universal,59.12,59.52,00:00:59.120,00:00:59.520,0.9236,15
172,machine-learning,59.52,60.08,00:00:59.520,00:01:00.080,,15
173,potentials,60.08,60.62,00:01:00.080,00:01:00.620,0.9866,15
174,can,60.62,60.7,00:01:00.620,00:01:00.700,0.9083,15
175,misrepresent,60.7,61.0,00:01:00.700,00:01:01.000,0.9934,15
176,the,61.0,61.38,00:01:01.000,00:01:01.380,0.9941,15
177,energy,61.38,61.62,00:01:01.380,00:01:01.620,0.9985,15
178,landscape,61.62,62.06,00:01:01.620,00:01:02.060,0.996,15
179,by,62.06,62.28,00:01:02.060,00:01:02.280,0.9953,15
180,fifteen,62.28,62.64,00:01:02.280,00:01:02.640,,15
181,to,62.64,62.82,00:01:02.640,00:01:02.820,0.5642,15
182,sixty,62.82,63.14,00:01:02.820,00:01:03.140,,15
183,percent,63.14,63.46,00:01:03.140,00:01:03.460,0.4854,15
184,Great-looking,64.025,64.46,00:01:04.025,00:01:04.460,,16
185,candidates,64.46,64.96,00:01:04.460,00:01:04.960,0.9986,16
186,become,64.96,65.24,00:01:04.960,00:01:05.240,0.9949,16
187,expensive,65.24,65.7,00:01:05.240,00:01:05.700,0.9966,16
188,false,65.7,65.94,00:01:05.700,00:01:05.940,0.8291,16
189,positives,65.94,66.36,00:01:05.940,00:01:06.360,0.9077,16
190,Lupine,67.05,67.4,00:01:07.050,00:01:07.400,,17
191,measures,67.4,67.68,00:01:07.400,00:01:07.680,0.9899,17
192,that,67.68,67.9,00:01:07.680,00:01:07.900,0.9671,17
193,error,67.9,68.12,00:01:07.900,00:01:08.120,0.6952,17
194,against,68.12,68.46,00:01:08.120,00:01:08.460,0.9971,17
195,local,68.46,68.7,00:01:08.460,00:01:08.700,0.9869,17
196,atomic,68.7,69.08,00:01:08.700,00:01:09.080,0.9977,17
197,coordination,69.08,69.58,00:01:09.080,00:01:09.580,0.9921,17
198,then,69.58,70.04,00:01:09.580,00:01:10.040,0.7756,17
199,corrects,70.04,70.46,00:01:10.040,00:01:10.460,0.9775,17
200,energies,70.46,70.76,00:01:10.460,00:01:10.760,0.9176,17
201,and,70.76,70.98,00:01:10.760,00:01:10.980,0.9942,17
202,forces,70.98,71.3,00:01:10.980,00:01:11.300,0.9972,17
203,at,71.3,71.58,00:01:11.300,00:01:11.580,0.9979,17
204,runtime,71.58,71.94,00:01:11.580,00:01:11.940,0.5039,17
205,Now,72.7,72.8,00:01:12.700,00:01:12.800,0.9926,18
206,the,72.8,72.96,00:01:12.800,00:01:12.960,0.867,18
207,same,72.96,73.16,00:01:12.960,00:01:13.160,0.9989,18
208,fast,73.16,73.44,00:01:13.160,00:01:13.440,0.3555,18
209,screen,73.44,73.74,00:01:13.440,00:01:13.740,0.8398,18
210,can,73.74,73.96,00:01:13.740,00:01:13.960,0.9964,18
211,rank,73.96,74.16,00:01:13.960,00:01:14.160,0.999,18
212,lithium-selective,74.16,74.88,00:01:14.160,00:01:14.880,,18
213,pores,74.88,75.14,00:01:14.880,00:01:15.140,0.9781,18
214,cobalt-versus-nickel,75.14,76.16,00:01:15.140,00:01:16.160,,18
215,extractants,76.16,76.8,00:01:16.160,00:01:16.800,0.4965,18
216,PFAS,77.14,77.4,00:01:17.140,00:01:17.400,0.9278,18
217,sorbents,77.4,77.76,00:01:17.400,00:01:17.760,0.914,18
218,and,78.04,78.18,00:01:18.040,00:01:18.180,0.9961,18
219,defluorination,78.18,79.22,00:01:18.180,00:01:19.220,,18
220,catalysts,79.22,79.72,00:01:19.220,00:01:19.720,0.9989,18
221,without,79.72,80.0,00:01:19.720,00:01:20.000,0.9084,18
222,pretending,80.0,80.4,00:01:20.000,00:01:20.400,0.9956,18
223,every,80.4,80.68,00:01:20.400,00:01:20.680,0.9898,18
224,atomic,80.68,81.04,00:01:20.680,00:01:21.040,0.9981,18
225,neighborhood,81.04,81.4,00:01:21.040,00:01:21.400,0.9075,18
226,behaves,81.4,81.76,00:01:21.400,00:01:21.760,0.9991,18
227,like,81.76,82.0,00:01:21.760,00:01:22.000,0.9982,18
228,a,82.0,82.12,00:01:22.000,00:01:22.120,0.9956,18
229,perfect,82.12,82.36,00:01:22.120,00:01:22.360,0.9931,18
230,bulk,82.36,82.62,00:01:22.360,00:01:22.620,0.9726,18
231,crystal,82.62,82.94,00:01:22.620,00:01:22.940,0.9772,18
232,On,83.46,83.74,00:01:23.460,00:01:23.740,0.2416,19
233,the,83.74,83.86,00:01:23.740,00:01:23.860,0.9962,19
234,mineral,83.86,84.08,00:01:23.860,00:01:24.080,0.8519,19
235,side,84.08,84.42,00:01:24.080,00:01:24.420,0.9972,19
236,corrected,84.72,84.98,00:01:24.720,00:01:24.980,0.9387,19
237,binding,84.98,85.26,00:01:24.980,00:01:25.260,0.9938,19
238,and,85.26,85.52,00:01:25.260,00:01:25.520,0.9896,19
239,migration,85.52,85.84,00:01:25.520,00:01:25.840,0.9857,19
240,energies,85.84,86.36,00:01:25.840,00:01:26.360,0.912,19
241,guide,86.36,86.62,00:01:26.360,00:01:26.620,0.9098,19
242,separation,86.62,87.08,00:01:26.620,00:01:27.080,0.9962,19
243,and,87.08,87.4,00:01:27.080,00:01:27.400,0.9691,19
244,direct,87.4,87.66,00:01:27.400,00:01:27.660,0.9979,19
245,battery,87.66,88.0,00:01:27.660,00:01:28.000,0.9613,19
246,recycling,88.0,88.46,00:01:28.000,00:01:28.460,0.9972,19
247,On,89.14,89.26,00:01:29.140,00:01:29.260,0.991,20
248,the,89.26,89.38,00:01:29.260,00:01:29.380,0.9986,20
249,PFAS,89.38,89.66,00:01:29.380,00:01:29.660,0.9701,20
250,side,89.66,90.0,00:01:29.660,00:01:30.000,0.9976,20
251,corrected,90.32,90.52,00:01:30.320,00:01:30.520,0.9978,20
