ordinal	timestamp_s	frame_number	typography_floor	legible_unclipped	single_focal	safe_balanced	contrast_palette	scientific_specificity	motion_complete	transition_clean	cue_alignment	technically_clean	total	verdict	note
1	0.000	0	1	1	1	1	1	0	1	1	1	1	9	PASS	WebVTT cue boundary; five-second cadence
2	0.100	3	1	1	1	1	1	0	1	1	1	1	9	PASS	opening exact
3	4.610	138	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary
4	5.000	150	1	1	1	1	1	1	1	1	1	1	10	PASS	five-second cadence
5	10.000	300	1	1	1	1	1	1	1	1	1	1	10	PASS	five-second cadence
6	10.336	310	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary
7	11.592	348	1	1	1	1	1	1	1	1	1	1	10	PASS	transition 1 before
8	11.792	354	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary; transition 1 exact
9	11.992	360	1	1	1	1	1	1	1	1	1	1	10	PASS	transition 1 after
10	15.000	450	1	1	1	1	1	1	1	1	1	1	10	PASS	five-second cadence
11	16.555	497	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary
12	20.000	600	1	1	1	1	1	1	1	1	1	1	10	PASS	five-second cadence
13	24.945	748	1	1	1	1	1	1	1	1	1	1	10	PASS	transition 2 before
14	25.000	750	1	1	1	1	1	1	1	1	1	1	10	PASS	five-second cadence
15	25.145	754	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary; transition 2 exact
16	25.345	760	1	1	1	1	1	1	1	1	1	1	10	PASS	transition 2 after
17	28.368	851	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary
18	30.000	900	1	1	1	1	1	1	1	1	1	1	10	PASS	five-second cadence
19	35.000	1050	1	1	1	1	1	1	1	1	1	1	10	PASS	five-second cadence
20	36.385	1092	1	1	1	1	1	1	1	1	1	1	10	PASS	transition 3 before
21	36.585	1098	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary; transition 3 exact
22	36.785	1104	1	1	1	1	1	1	1	1	1	1	10	PASS	transition 3 after
23	40.000	1200	1	1	1	1	1	1	1	1	1	1	10	PASS	five-second cadence
24	42.247	1267	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary
25	45.000	1350	1	1	1	1	1	1	1	1	1	1	10	PASS	five-second cadence
26	47.700	1431	1	1	1	1	1	1	1	1	1	1	10	PASS	48.0s defect bracket before
27	48.000	1440	1	1	1	1	1	1	1	1	1	1	10	PASS	48.0s exact defect sample
28	48.300	1449	1	1	1	1	1	1	1	1	1	1	10	PASS	48.0s defect bracket after
29	49.335	1480	1	1	1	1	1	1	1	1	1	1	10	PASS	transition 4 before
30	49.400	1482	1	1	1	1	1	1	1	1	1	1	10	PASS	49.7s defect bracket before
31	49.535	1486	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary; transition 4 exact
32	49.700	1491	1	1	1	1	1	1	1	1	1	1	10	PASS	49.7s exact defect sample; prior-failure headline fully opaque; chart labels clear
33	49.735	1492	1	1	1	1	1	1	1	1	1	1	10	PASS	transition 4 after
34	50.000	1500	1	1	1	1	1	1	1	1	1	1	10	PASS	49.7s defect bracket after; five-second cadence
35	52.077	1562	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary
36	55.000	1650	1	1	1	1	1	1	1	1	1	1	10	PASS	five-second cadence
37	57.585	1728	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary
38	60.000	1800	1	1	1	1	1	1	1	1	1	1	10	PASS	five-second cadence
39	62.279	1868	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary
40	65.000	1950	1	1	1	1	1	1	1	1	1	1	10	PASS	five-second cadence
