timestamp	seconds	frame_number	source_master_sha256	reasons	filename
00:00:00.000	0.000	0	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary; five-second cadence	frame-000-at-00.000s.jpg
00:00:00.100	0.100	3	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	opening exact	frame-001-at-00.100s.jpg
00:00:04.610	4.610	138	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary	frame-002-at-04.610s.jpg
00:00:05.000	5.000	150	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	five-second cadence	frame-003-at-05.000s.jpg
00:00:10.000	10.000	300	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	five-second cadence	frame-004-at-10.000s.jpg
00:00:10.336	10.336	310	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary	frame-005-at-10.336s.jpg
00:00:11.592	11.592	348	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	transition 1 before	frame-006-at-11.592s.jpg
00:00:11.792	11.792	354	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary; transition 1 exact	frame-007-at-11.792s.jpg
00:00:11.992	11.992	360	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	transition 1 after	frame-008-at-11.992s.jpg
00:00:15.000	15.000	450	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	five-second cadence	frame-009-at-15.000s.jpg
00:00:16.555	16.555	497	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary	frame-010-at-16.555s.jpg
00:00:20.000	20.000	600	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	five-second cadence	frame-011-at-20.000s.jpg
00:00:24.945	24.945	748	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	transition 2 before	frame-012-at-24.945s.jpg
00:00:25.000	25.000	750	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	five-second cadence	frame-013-at-25.000s.jpg
00:00:25.145	25.145	754	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary; transition 2 exact	frame-014-at-25.145s.jpg
00:00:25.345	25.345	760	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	transition 2 after	frame-015-at-25.345s.jpg
00:00:28.368	28.368	851	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary	frame-016-at-28.368s.jpg
00:00:30.000	30.000	900	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	five-second cadence	frame-017-at-30.000s.jpg
00:00:35.000	35.000	1050	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	five-second cadence	frame-018-at-35.000s.jpg
00:00:36.385	36.385	1092	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	transition 3 before	frame-019-at-36.385s.jpg
00:00:36.585	36.585	1098	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary; transition 3 exact	frame-020-at-36.585s.jpg
00:00:36.785	36.785	1104	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	transition 3 after	frame-021-at-36.785s.jpg
00:00:40.000	40.000	1200	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	five-second cadence	frame-022-at-40.000s.jpg
00:00:42.247	42.247	1267	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary	frame-023-at-42.247s.jpg
00:00:45.000	45.000	1350	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	five-second cadence	frame-024-at-45.000s.jpg
00:00:47.700	47.700	1431	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	48.0s defect bracket before	frame-025-at-47.700s.jpg
00:00:48.000	48.000	1440	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	48.0s exact defect sample	frame-026-at-48.000s.jpg
00:00:48.300	48.300	1449	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	48.0s defect bracket after	frame-027-at-48.300s.jpg
00:00:49.335	49.335	1480	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	transition 4 before	frame-028-at-49.335s.jpg
00:00:49.400	49.400	1482	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	49.7s defect bracket before	frame-029-at-49.400s.jpg
00:00:49.535	49.535	1486	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary; transition 4 exact	frame-030-at-49.535s.jpg
00:00:49.700	49.700	1491	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	49.7s exact defect sample	frame-031-at-49.700s.jpg
00:00:49.735	49.735	1492	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	transition 4 after	frame-032-at-49.735s.jpg
00:00:50.000	50.000	1500	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	49.7s defect bracket after; five-second cadence	frame-033-at-50.000s.jpg
00:00:52.077	52.077	1562	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	WebVTT cue boundary	frame-034-at-52.077s.jpg
00:00:55.000	55.000	1650	c07824bf7c33b3c033152d3a7f85a4cabf34d447a7dc389514fa9fd3e98784f5	five-second cadence	frame-035-at-55.000s.jpg
