index,word,start,end,start_time,end_time,confidence,cue
1,The,0.0,0.22,00:00:00.000,00:00:00.220,0.7076,1
2,gap,0.22,0.44,00:00:00.220,00:00:00.440,0.98,1
3,between,0.44,0.7,00:00:00.440,00:00:00.700,0.9974,1
4,a,0.7,0.86,00:00:00.700,00:00:00.860,0.982,1
5,climate,0.86,1.1,00:00:00.860,00:00:01.100,0.9138,1
6,target,1.1,1.44,00:00:01.100,00:00:01.440,0.9967,1
7,and,1.44,1.64,00:00:01.440,00:00:01.640,0.99,1
8,an,1.64,1.76,00:00:01.640,00:00:01.760,0.995,1
9,actual,1.76,2.08,00:00:01.760,00:00:02.080,0.9973,1
10,climate,2.08,2.42,00:00:02.080,00:00:02.420,0.989,1
11,solution,2.42,2.8,00:00:02.420,00:00:02.800,0.9965,1
12,is,2.8,3.08,00:00:02.800,00:00:03.080,0.9907,1
13,usually,3.08,3.42,00:00:03.080,00:00:03.420,0.9961,1
14,a,3.42,3.56,00:00:03.420,00:00:03.560,0.9275,1
15,material,3.56,3.92,00:00:03.560,00:00:03.920,0.9975,1
16,And,4.62,4.72,00:00:04.620,00:00:04.720,0.9412,2
17,five,4.72,4.94,00:00:04.720,00:00:04.940,0.5674,2
18,missing,4.94,5.22,00:00:04.940,00:00:05.220,0.9937,2
19,materials,5.22,5.64,00:00:05.220,00:00:05.640,0.9953,2
20,could,5.64,5.88,00:00:05.640,00:00:05.880,0.9785,2
21,unlock,5.88,6.22,00:00:05.880,00:00:06.220,0.9987,2
22,between,6.22,6.5,00:00:06.220,00:00:06.500,0.9967,2
23,five,6.5,6.82,00:00:06.500,00:00:06.820,,2
24,and,6.82,6.98,00:00:06.820,00:00:06.980,0.9412,2
25,twelve,6.98,7.35,00:00:06.980,00:00:07.350,,2
26,gigatonnes,7.35,7.72,00:00:07.350,00:00:07.720,,2
27,of,7.72,7.9,00:00:07.720,00:00:07.900,0.9956,2
28,carbon,7.9,8.14,00:00:07.900,00:00:08.140,0.9633,2
29,dioxide,8.14,8.54,00:00:08.140,00:00:08.540,0.9909,2
30,reductions,8.54,9.12,00:00:08.540,00:00:09.120,0.9604,2
