index,word,start,end,start_time,end_time,confidence,cue
1,A,0.0,0.22,00:00:00.000,00:00:00.220,0.4347,1
2,predicted,0.22,0.46,00:00:00.220,00:00:00.460,0.895,1
3,crystal,0.46,0.9,00:00:00.460,00:00:00.900,0.9901,1
4,is,0.9,1.1,00:00:00.900,00:00:01.100,0.9919,1
5,not,1.1,1.28,00:00:01.100,00:00:01.280,0.9862,1
6,a,1.28,1.4,00:00:01.280,00:00:01.400,0.9812,1
7,material,1.4,1.74,00:00:01.400,00:00:01.740,0.9938,1
8,A,2.38,2.52,00:00:02.380,00:00:02.520,0.9891,2
9,powder,2.52,2.76,00:00:02.520,00:00:02.760,0.9823,2
10,is,2.76,2.94,00:00:02.760,00:00:02.940,0.9974,2
11,not,2.94,3.12,00:00:02.940,00:00:03.120,0.9977,2
12,a,3.12,3.26,00:00:03.120,00:00:03.260,0.9967,2
13,battery,3.26,3.46,00:00:03.260,00:00:03.460,0.9943,2
14,cell,3.46,3.76,00:00:03.460,00:00:03.760,0.997,2
15,And,4.4,4.52,00:00:04.400,00:00:04.520,0.9725,3
16,a,4.52,4.64,00:00:04.520,00:00:04.640,0.9808,3
17,cell,4.64,4.8,00:00:04.640,00:00:04.800,0.9974,3
18,is,4.8,4.98,00:00:04.800,00:00:04.980,0.9973,3
19,definitely,4.98,5.26,00:00:04.980,00:00:05.260,0.9893,3
20,not,5.26,5.58,00:00:05.260,00:00:05.580,0.996,3
21,an,5.58,5.72,00:00:05.580,00:00:05.720,0.9959,3
22,electric,5.72,6.0,00:00:05.720,00:00:06.000,0.9937,3
23,truck,6.0,6.34,00:00:06.000,00:00:06.340,0.9977,3
24,Between,7.2,7.22,00:00:07.200,00:00:07.220,0.981,4
25,the,7.22,7.36,00:00:07.220,00:00:07.360,0.9935,4
26,computer,7.36,7.62,00:00:07.360,00:00:07.620,0.9975,4
27,and,7.62,7.88,00:00:07.620,00:00:07.880,0.9881,4
28,the,7.88,7.98,00:00:07.880,00:00:07.980,0.9958,4
29,road,7.98,8.2,00:00:07.980,00:00:08.200,0.9963,4
30,A,8.78,8.92,00:00:08.780,00:00:08.920,0.8976,5
31,whole,8.92,9.12,00:00:08.920,00:00:09.120,0.9985,5
32,chain,9.12,9.32,00:00:09.120,00:00:09.320,0.9968,5
33,of,9.32,9.48,00:00:09.320,00:00:09.480,0.9994,5
34,handoffs,9.48,9.88,00:00:09.480,00:00:09.880,0.7864,5
35,where,9.88,10.14,00:00:09.880,00:00:10.140,0.7373,5
36,great,10.14,10.36,00:00:10.140,00:00:10.360,0.99,5
37,ideas,10.36,10.7,00:00:10.360,00:00:10.700,0.9984,5
38,quietly,10.7,11.04,00:00:10.700,00:00:11.040,0.9944,5
39,die,11.04,11.36,00:00:11.040,00:00:11.360,0.9861,5
40,Google,12.08,12.22,00:00:12.080,00:00:12.220,0.9799,6
41,DeepMind,12.22,12.66,00:00:12.220,00:00:12.660,0.955,6
42,generated,12.66,13.1,00:00:12.660,00:00:13.100,0.9912,6
