index,word,start,end,start_time,end_time,confidence,cue
1,AI,0.0,0.32,00:00:00.000,00:00:00.320,0.3882,1
2,can,0.32,0.6,00:00:00.320,00:00:00.600,0.9925,1
3,generate,0.6,0.94,00:00:00.600,00:00:00.940,0.996,1
4,millions,0.94,1.2,00:00:00.940,00:00:01.200,0.9963,1
5,of,1.2,1.48,00:00:01.200,00:00:01.480,0.9969,1
6,possible,1.48,1.8,00:00:01.480,00:00:01.800,0.9974,1
7,materials,1.8,2.34,00:00:01.800,00:00:02.340,0.9961,1
8,simulate,2.58,2.88,00:00:02.580,00:00:02.880,0.9986,1
9,them,2.88,3.16,00:00:02.880,00:00:03.160,0.9978,1
10,in,3.16,3.34,00:00:03.160,00:00:03.340,0.9977,1
11,microseconds,3.34,3.76,00:00:03.340,00:00:03.760,0.9892,1
12,and,4.18,4.34,00:00:04.180,00:00:04.340,0.9934,1
13,send,4.34,4.56,00:00:04.340,00:00:04.560,0.9979,1
14,robots,4.56,4.92,00:00:04.560,00:00:04.920,0.9973,1
15,to,4.92,5.2,00:00:04.920,00:00:05.200,0.9972,1
16,synthesize,5.2,5.7,00:00:05.200,00:00:05.700,0.9775,1
17,them,5.7,5.86,00:00:05.700,00:00:05.860,0.9968,1
18,around,5.86,6.08,00:00:05.860,00:00:06.080,0.9973,1
19,the,6.08,6.26,00:00:06.080,00:00:06.260,0.9948,1
20,clock,6.26,6.5,00:00:06.260,00:00:06.500,0.9995,1
21,So,7.24,7.38,00:00:07.240,00:00:07.380,0.9782,2
22,what,7.38,7.54,00:00:07.380,00:00:07.540,0.8328,2
23,is,7.54,7.76,00:00:07.540,00:00:07.760,0.9947,2
24,scarce,7.76,7.88,00:00:07.760,00:00:07.880,0.8216,2
25,now,7.88,8.22,00:00:07.880,00:00:08.220,0.9924,2
26,Not,8.9,9.06,00:00:08.900,00:00:09.060,0.9604,3
27,ideas,9.06,9.42,00:00:09.060,00:00:09.420,0.9729,3
28,Not,10.14,10.44,00:00:10.140,00:00:10.440,0.9907,4
29,compute,10.44,10.78,00:00:10.440,00:00:10.780,0.9901,4
30,The,11.5,11.64,00:00:11.500,00:00:11.640,0.9764,5
31,scarce,11.64,11.9,00:00:11.640,00:00:11.900,0.9059,5
32,resource,11.9,12.3,00:00:11.900,00:00:12.300,0.9795,5
33,is,12.3,12.54,00:00:12.300,00:00:12.540,0.9987,5
34,believing,12.54,12.82,00:00:12.540,00:00:12.820,0.9971,5
35,the,12.82,13.02,00:00:12.820,00:00:13.020,0.9981,5
36,result,13.02,13.3,00:00:13.020,00:00:13.300,0.9935,5
37,Google,14.1,14.24,00:00:14.100,00:00:14.240,0.9695,6
38,DeepMind,14.24,14.72,00:00:14.240,00:00:14.720,0.9754,6
39,reported,14.72,15.16,00:00:14.720,00:00:15.160,0.9916,6
40,380,15.16,15.9,00:00:15.160,00:00:15.900,0.9338,6
41,000,15.9,16.36,00:00:15.900,00:00:16.360,0.965,6
42,stable,16.36,16.7,00:00:16.360,00:00:16.700,0.987,6
43,crystal,16.7,17.02,00:00:16.700,00:00:17.020,0.9275,6
44,predictions,17.02,17.52,00:00:17.020,00:00:17.520,0.9986,6
45,By,18.32,18.46,00:00:18.320,00:00:18.460,0.9908,7
46,late,18.46,18.68,00:00:18.460,00:00:18.680,0.9984,7
47,2023,18.68,19.58,00:00:18.680,00:00:19.580,0.9878,7
48,only,19.88,20.04,00:00:19.880,00:00:20.040,0.9967,7
49,736,20.04,20.98,00:00:20.040,00:00:20.980,0.9962,7
50,had,20.98,21.38,00:00:20.980,00:00:21.380,0.9832,7
51,been,21.38,21.52,00:00:21.380,00:00:21.520,0.9995,7
52,independently,21.52,22.06,00:00:21.520,00:00:22.060,0.9991,7
53,synthesized,22.06,22.82,00:00:22.060,00:00:22.820,0.9965,7
54,That,23.34,23.62,00:00:23.340,00:00:23.620,0.9915,8
55,is,23.62,23.78,00:00:23.620,00:00:23.780,0.9948,8
56,zero,23.78,24.104,00:00:23.780,00:00:24.104,0.966,8
57,point,24.104,24.509,00:00:24.104,00:00:24.509,0.966,8
58,two,24.509,24.753,00:00:24.509,00:00:24.753,0.966,8
59,percent,24.753,25.32,00:00:24.753,00:00:25.320,0.966,8
60,Every,25.32,25.9,00:00:25.320,00:00:25.900,0.9631,9
61,false,25.9,26.12,00:00:25.900,00:00:26.120,0.9803,9
62,positive,26.12,26.58,00:00:26.120,00:00:26.580,0.8282,9
63,wastes,26.58,26.9,00:00:26.580,00:00:26.900,0.9912,9
64,lab,26.9,27.26,00:00:26.900,00:00:27.260,0.9914,9
65,weeks,27.26,27.54,00:00:27.260,00:00:27.540,0.9926,9
66,Every,28.18,28.52,00:00:28.180,00:00:28.520,0.181,10
67,false,28.52,28.78,00:00:28.520,00:00:28.780,0.9848,10
68,negative,28.78,29.16,00:00:28.780,00:00:29.160,0.9382,10
69,can,29.16,29.46,00:00:29.160,00:00:29.460,0.9936,10
70,bury,29.46,29.72,00:00:29.460,00:00:29.720,0.8059,10
71,a,29.72,29.88,00:00:29.720,00:00:29.880,0.9927,10
72,climate,29.88,30.1,00:00:29.880,00:00:30.100,0.9057,10
73,material,30.1,30.58,00:00:30.100,00:00:30.580,0.9964,10
74,we,30.58,30.78,00:00:30.580,00:00:30.780,0.9932,10
75,needed,30.78,31.02,00:00:30.780,00:00:31.020,0.9922,10
76,yesterday,31.02,31.5,00:00:31.020,00:00:31.500,0.9967,10
77,Lupine,32.34,32.46,00:00:32.340,00:00:32.460,0.8861,11
78,sits,32.46,32.66,00:00:32.460,00:00:32.660,0.9814,11
79,between,32.66,33.04,00:00:32.660,00:00:33.040,0.9967,11
80,prediction,33.04,33.42,00:00:33.040,00:00:33.420,0.994,11
81,and,33.42,33.68,00:00:33.420,00:00:33.680,0.9982,11
82,synthesis,33.68,34.12,00:00:33.680,00:00:34.120,0.9973,11
83,not,34.48,34.66,00:00:34.480,00:00:34.660,0.9959,11
84,replacing,34.66,35.1,00:00:34.660,00:00:35.100,0.9984,11
85,generators,35.1,35.5,00:00:35.100,00:00:35.500,0.998,11
86,or,35.5,35.82,00:00:35.500,00:00:35.820,0.994,11
87,simulators,35.82,36.28,00:00:35.820,00:00:36.280,0.9963,11
88,but,36.56,36.76,00:00:36.560,00:00:36.760,0.9946,11
89,checking,36.76,37.04,00:00:36.760,00:00:37.040,0.9939,11
90,their,37.04,37.26,00:00:37.040,00:00:37.260,0.9903,11
91,work,37.26,37.48,00:00:37.260,00:00:37.480,0.8979,11
92,It,38.2,38.32,00:00:38.200,00:00:38.320,0.9652,12
93,measures,38.32,38.6,00:00:38.320,00:00:38.600,0.9934,12
94,systematic,38.6,39.02,00:00:38.600,00:00:39.020,0.8499,12
95,model,39.02,39.42,00:00:39.020,00:00:39.420,0.9948,12
96,error,39.42,39.76,00:00:39.420,00:00:39.760,0.9892,12
97,corrects,40.0,40.44,00:00:40.000,00:00:40.440,0.9939,12
98,that,40.44,40.58,00:00:40.440,00:00:40.580,0.9892,12
99,error,40.58,40.84,00:00:40.580,00:00:40.840,0.9975,12
100,at,40.84,41.04,00:00:40.840,00:00:41.040,0.9986,12
101,runtime,41.04,41.34,00:00:41.040,00:00:41.340,0.5475,12
102,and,41.7,41.82,00:00:41.700,00:00:41.820,0.9975,12
103,proves,41.82,42.1,00:00:41.820,00:00:42.100,0.9852,12
104,which,42.1,42.34,00:00:42.100,00:00:42.340,0.995,12
105,claims,42.34,42.64,00:00:42.340,00:00:42.640,0.9891,12
106,a,42.64,42.8,00:00:42.640,00:00:42.800,0.8905,12
107,laboratory,42.8,43.16,00:00:42.800,00:00:43.160,0.9987,12
108,can,43.16,43.48,00:00:43.160,00:00:43.480,0.9987,12
109,actually,43.48,43.84,00:00:43.480,00:00:43.840,0.9973,12
110,trust,43.84,44.18,00:00:43.840,00:00:44.180,0.9992,12
111,The,44.92,45.06,00:00:44.920,00:00:45.060,0.9877,13
112,moat,45.06,45.22,00:00:45.060,00:00:45.220,0.165,13
113,has,45.22,45.5,00:00:45.220,00:00:45.500,0.9984,13
114,three,45.5,45.7,00:00:45.500,00:00:45.700,0.9163,13
115,parts,45.7,46.1,00:00:45.700,00:00:46.100,0.9983,13
116,First,46.9,47.1,00:00:46.900,00:00:47.100,0.985,14
117,a,47.4,47.48,00:00:47.400,00:00:47.480,0.9955,14
