frame,timestamp_seconds,file,score_10,review_status,notes
0,0.5,frame-00-at-0.5s.png,,pending independent reviewer,
1,4.0,frame-01-at-4.0s.png,,pending independent reviewer,
2,7.5,frame-02-at-7.5s.png,,pending independent reviewer,
3,10.0,frame-03-at-10.0s.png,,pending independent reviewer,
4,13.8,frame-04-at-13.8s.png,,pending independent reviewer,
5,14.0,frame-05-at-14.0s.png,,pending independent reviewer,
6,14.2,frame-06-at-14.2s.png,,pending independent reviewer,
7,17.0,frame-07-at-17.0s.png,8,formal reviewer PASS t_e2da8ebb,director-required exact sample
8,20.0,frame-08-at-20.0s.png,,pending independent reviewer,
9,24.0,frame-09-at-24.0s.png,,pending independent reviewer,
10,28.8,frame-10-at-28.8s.png,,pending independent reviewer,
11,29.0,frame-11-at-29.0s.png,,pending independent reviewer,
12,29.2,frame-12-at-29.2s.png,,pending independent reviewer,
13,32.0,frame-13-at-32.0s.png,8,formal reviewer PASS t_e2da8ebb,director-required exact sample
14,36.0,frame-14-at-36.0s.png,,pending independent reviewer,
15,40.0,frame-15-at-40.0s.png,,pending independent reviewer,
16,42.8,frame-16-at-42.8s.png,,pending independent reviewer,
17,43.0,frame-17-at-43.0s.png,,pending independent reviewer,
18,43.2,frame-18-at-43.2s.png,,pending independent reviewer,
19,46.0,frame-19-at-46.0s.png,,pending independent reviewer,
20,49.0,frame-20-at-49.0s.png,,pending independent reviewer,
21,52.5,frame-21-at-52.5s.png,,pending independent reviewer,
22,53.0,frame-22-at-53.0s.png,7,formal reviewer PASS t_e2da8ebb,director-required exact sample
23,53.5,frame-23-at-53.5s.png,,pending independent reviewer,
24,58.8,frame-24-at-58.8s.png,,pending independent reviewer,
25,59.0,frame-25-at-59.0s.png,,pending independent reviewer,
26,59.2,frame-26-at-59.2s.png,,pending independent reviewer,
27,62.0,frame-27-at-62.0s.png,,pending independent reviewer,
28,65.0,frame-28-at-65.0s.png,,pending independent reviewer,
29,67.5,frame-29-at-67.5s.png,,pending independent reviewer,
30,68.0,frame-30-at-68.0s.png,7,formal reviewer PASS t_e2da8ebb,director-required exact sample
31,68.5,frame-31-at-68.5s.png,,pending independent reviewer,
32,73.8,frame-32-at-73.8s.png,,pending independent reviewer,
33,74.0,frame-33-at-74.0s.png,,pending independent reviewer,
34,74.2,frame-34-at-74.2s.png,,pending independent reviewer,
35,77.0,frame-35-at-77.0s.png,,pending independent reviewer,
36,80.0,frame-36-at-80.0s.png,,pending independent reviewer,
37,84.0,frame-37-at-84.0s.png,8,formal reviewer PASS t_e2da8ebb,director-required exact sample
38,88.0,frame-38-at-88.0s.png,,pending independent reviewer,
39,91.0,frame-39-at-91.0s.png,,pending independent reviewer,
40,93.8,frame-40-at-93.8s.png,,pending independent reviewer,
41,94.0,frame-41-at-94.0s.png,,pending independent reviewer,
42,94.2,frame-42-at-94.2s.png,,pending independent reviewer,
43,97.0,frame-43-at-97.0s.png,8,formal reviewer PASS t_e2da8ebb,director-required exact sample
44,100.0,frame-44-at-100.0s.png,,pending independent reviewer,
45,102.8,frame-45-at-102.8s.png,8,formal reviewer PASS t_e2da8ebb,director-required exact sample
46,105.5,frame-46-at-105.5s.png,,pending independent reviewer,
